Run Number,beam species,beam energy (GeV),bias Voltage ,Number Triggers ,Number Spills,mapping (filename),"Table Position (x, y)",# trigger per spill,start time (s),end time (s),length (min),events/min,dead time,trig delay,calibration ADC,calibration TOA,Calibration TOT,machine gun number,comments
5,Muon +,5,43,,,,,21.00,8/29/2024 0:00:00,8/29/2024 0:00:00,0.00,,,12,,,,20,
42,Muon +,5,43,10088,454,,"(-5.002, -2.504)",22.22,8/30/2024 1:53:00,8/30/2024 4:35:00,162.00,62.27,,12,,,,20,
43,Muon +,5,43,10109,433,,"(5.003, -2.504)",23.35,8/30/2024 4:38:00,8/30/2024 7:13:00,155.00,65.22,,12,,,,20,
44,Muon +,5,43,10110,424,,"(5.003,2.505)",23.84,8/30/2024 7:15:00,8/30/2024 10:05:00,170.00,59.47,,12,,,,20,
59,Pion -,3,43,68411,287,,"(0,0)",238.37,8/30/2024 23:15:00,8/31/2024 0:45:00,90.00,760.12,10000,12,,,"config_tot_a0_211_0830_1749.json
config_tot_a1_208_0830_1345.json
config_tot_a1_209_0830_2056.json
config_tot_a1_210_0830_1621.json
config_tot_a1_211_0830_1749.json
config_tot_a0_208_0830_1345.json
config_tot_a0_209_0830_2056.json",20,"first hadron run, online monitor running"
60,Pion -,5,43,97124,253,,"(0,0)",383.89,8/31/2024 0:47:00,8/31/2024 2:41:00,114.00,851.96,10000,12,,,"config_tot_a0_211_0830_1749.json
config_tot_a1_208_0830_1345.json
config_tot_a1_209_0830_2056.json
config_tot_a1_210_0830_1621.json
config_tot_a1_211_0830_1749.json
config_tot_a0_208_0830_1345.json
config_tot_a0_209_0830_2056.json",20,
61,Pion -,8,43,83609,263,,"(0,0)",317.90,8/31/2024 2:42:00,8/31/2024 4:18:00,96.00,870.93,10000,12,,,"config_tot_a0_211_0830_1749.json
config_tot_a1_208_0830_1345.json
config_tot_a1_209_0830_2056.json
config_tot_a1_210_0830_1621.json
config_tot_a1_211_0830_1749.json
config_tot_a0_208_0830_1345.json
config_tot_a0_209_0830_2056.json",20,
62,Pion -,10,43,69208,292,,"(0,0)",237.01,8/31/2024 4:20:00,8/31/2024 6:05:00,105.00,659.12,10000,12,,,"config_tot_a0_211_0830_1749.json
config_tot_a1_208_0830_1345.json
config_tot_a1_209_0830_2056.json
config_tot_a1_210_0830_1621.json
config_tot_a1_211_0830_1749.json
config_tot_a0_208_0830_1345.json
config_tot_a0_209_0830_2056.json",20,
63,Hadron +,15,43,659325,205,,"(0,0)","3,216.22",8/31/2024 6:06:00,8/31/2024 7:20:00,74.00,"8,909.80",10000,12,,,"config_tot_a0_211_0830_1749.json
config_tot_a1_208_0830_1345.json
config_tot_a1_209_0830_2056.json
config_tot_a1_210_0830_1621.json
config_tot_a1_211_0830_1749.json
config_tot_a0_208_0830_1345.json
config_tot_a0_209_0830_2056.json",20,
64,Hadron +,5,43,211266,210,,"(0,0)","1,006.03",8/31/2024 7:21:00,8/31/2024 8:36:00,75.00,"2,816.88",10000,12,,,"config_tot_a0_211_0830_1749.json
config_tot_a1_208_0830_1345.json
config_tot_a1_209_0830_2056.json
config_tot_a1_210_0830_1621.json
config_tot_a1_211_0830_1749.json
config_tot_a0_208_0830_1345.json
config_tot_a0_209_0830_2056.json",20,
65,Hadron +,8,43,379499,206,,"(0,0)","1,842.23",8/31/2024 8:38:00,8/31/2024 9:52:00,74.00,"5,128.36",10000,12,,,"config_tot_a0_211_0830_1749.json
config_tot_a1_208_0830_1345.json
config_tot_a1_209_0830_2056.json
config_tot_a1_210_0830_1621.json
config_tot_a1_211_0830_1749.json
config_tot_a0_208_0830_1345.json
config_tot_a0_209_0830_2056.json",20,
